Banco;Técnica;k-anonimato;k mínimo;l-diversidade;l mínimo;NCP;Avaliação NCP;Similaridade;Avaliação Similaridade
accident_dp.xlsx;DP;;;;;0.1405;Baixa perda;;Não aplicável (DP)
accident_k_anonimizado.xlsx;K-Anonimato;OK;3;;;0.0;Baixa perda;0.0;Baixo risco
accident_l_diverso.xlsx;L-Diversidade;;;OK;2;0.0;Baixa perda;0.0;Baixo risco
accident_t_close.xlsx;T-Closeness;;;;;0.0;Baixa perda;0.0;Baixo risco
adult_dp.xlsx;DP;;;;;0.2767;Baixa perda;;Não aplicável (DP)
adult_k_anonimizado.xlsx;K-Anonimato;OK;3;;;0.0;Baixa perda;0.0;Baixo risco
adult_l_diverso.xlsx;L-Diversidade;;;OK;2;0.0;Baixa perda;0.0;Baixo risco
adult_t_close.xlsx;T-Closeness;;;;;0.0;Baixa perda;0.0;Baixo risco
AIDS_Classification_dp.xlsx;DP;;;;;0.0134;Baixa perda;;Não aplicável (DP)
AIDS_Classification_k_anonimizado.xlsx;K-Anonimato;OK;3;;;0.0;Baixa perda;0.0;Baixo risco
AIDS_Classification_l_diverso.xlsx;L-Diversidade;;;OK;2;0.0;Baixa perda;0.0;Baixo risco
AIDS_Classification_t_close.xlsx;T-Closeness;;;;;0.0;Baixa perda;0.0;Baixo risco
bank_dp.xlsx;DP;;;;;0.2368;Baixa perda;;Não aplicável (DP)
bank_k_anonimizado.xlsx;K-Anonimato;OK;3;;;0.0;Baixa perda;0.0;Baixo risco
bank_l_diverso.xlsx;L-Diversidade;;;OK;2;0.0;Baixa perda;0.0;Baixo risco
bank_t_close.xlsx;T-Closeness;;;;;0.0;Baixa perda;0.0;Baixo risco
booking_dp.xlsx;DP;;;;;0.1394;Baixa perda;;Não aplicável (DP)
booking_k_anonimizado.xlsx;K-Anonimato;OK;3;;;0.0;Baixa perda;0.2132;Baixo risco
booking_l_diverso.xlsx;L-Diversidade;;;OK;2;0.0;Baixa perda;0.1255;Baixo risco
booking_t_close.xlsx;T-Closeness;;;;;0.0;Baixa perda;0.0356;Baixo risco
brain_stroke_dp.xlsx;DP;;;;;0.2106;Baixa perda;;Não aplicável (DP)
brain_stroke_k_anonimizado.xlsx;K-Anonimato;OK;3;;;0.0;Baixa perda;0.2345;Baixo risco
brain_stroke_l_diverso.xlsx;L-Diversidade;;;OK;2;0.0;Baixa perda;0.0345;Baixo risco
brain_stroke_t_close.xlsx;T-Closeness;;;;;0.0;Baixa perda;0.2156;Baixo risco
cardio_train_dp.xlsx;DP;;;;;0.1207;Baixa perda;;Não aplicável (DP)
cardio_train_k_anonimizado.xlsx;K-Anonimato;OK;3;;;0.0;Baixa perda;0.3005;Risco moderado
cardio_train_l_diverso.xlsx;L-Diversidade;;;OK;2;0.0;Baixa perda;0.3;Risco moderado
cardio_train_t_close.xlsx;T-Closeness;;;;;0.0;Baixa perda;0.2956;Baixo risco
companhia_aerea_dp.xlsx;DP;;;;;0.1086;Baixa perda;;Não aplicável (DP)
companhia_aerea_k_anonimizado.xlsx;K-Anonimato;OK;3;;;0.0;Baixa perda;0.0;Baixo risco
companhia_aerea_l_diverso.xlsx;L-Diversidade;;;OK;2;0.0;Baixa perda;0.0;Baixo risco
companhia_aerea_t_close.xlsx;T-Closeness;;;;;0.0;Baixa perda;0.0;Baixo risco
