Banco,Tipo,RandomForest_F1_Treino,RandomForest_F1_Teste
companhia_aerea_l_diverso_codificado_bootstrap_1.xlsx,L-Diverso,0.9867516904735177,0.8167471220667665
companhia_aerea_l_diverso_codificado_bootstrap_2.xlsx,L-Diverso,0.9869325657908574,0.8165757768349817
companhia_aerea_l_diverso_codificado_bootstrap_3.xlsx,L-Diverso,0.9886257818538887,0.826853564472437
companhia_aerea_l_diverso_codificado_bootstrap_4.xlsx,L-Diverso,0.9887679219828526,0.8261789776258212
companhia_aerea_l_diverso_codificado_bootstrap_5.xlsx,L-Diverso,0.9879794205669252,0.8212799977579316
companhia_aerea_l_diverso_codificado_bootstrap_6.xlsx,L-Diverso,0.9893237314888708,0.8301571201520156
companhia_aerea_l_diverso_codificado_bootstrap_7.xlsx,L-Diverso,0.9894529388705194,0.821980481112637
companhia_aerea_t_close_codificado_bootstrap_1.xlsx,T-Close,0.9766633184853235,0.8143369080734153
companhia_aerea_t_close_codificado_bootstrap_2.xlsx,T-Close,0.9745917543789664,0.8006171006148985
companhia_aerea_t_close_codificado_bootstrap_3.xlsx,T-Close,0.9763829348850741,0.8080696961985934
companhia_aerea_t_close_codificado_bootstrap_4.xlsx,T-Close,0.9786787899159497,0.8103352097555163
companhia_aerea_t_close_codificado_bootstrap_5.xlsx,T-Close,0.9754028542361046,0.80498817380525
companhia_aerea_t_close_codificado_bootstrap_6.xlsx,T-Close,0.9733874574970756,0.8156087121251627
companhia_aerea_t_close_codificado_bootstrap_7.xlsx,T-Close,0.9773636061717441,0.8176843073622113
customer_churn_telecom_services_bootstrap_1.xlsx,Original,0.9981160411884087,0.9009572753876463
customer_churn_telecom_services_bootstrap_2.xlsx,Original,0.9984702480803092,0.9021791911750547
customer_churn_telecom_services_bootstrap_3.xlsx,Original,0.9985420442975679,0.9048568858209407
customer_churn_telecom_services_bootstrap_4.xlsx,Original,0.9992176413914262,0.899676971425343
customer_churn_telecom_services_bootstrap_5.xlsx,Original,0.9986488502627726,0.9074601121229134
customer_churn_telecom_services_bootstrap_6.xlsx,Original,0.9989334103061115,0.9028003135621283
customer_churn_telecom_services_bootstrap_7.xlsx,Original,0.9988976372283925,0.9036533696910141
customer_churn_telecom_services_dp_bootstrap_1.xlsx,DP,1.0,0.8284860383080522
customer_churn_telecom_services_dp_bootstrap_2.xlsx,DP,1.0,0.8279096992559181
customer_churn_telecom_services_dp_bootstrap_3.xlsx,DP,1.0,0.8397371377821186
customer_churn_telecom_services_dp_bootstrap_4.xlsx,DP,1.0,0.8274464808816303
customer_churn_telecom_services_dp_bootstrap_5.xlsx,DP,1.0,0.8295765836462262
customer_churn_telecom_services_dp_bootstrap_6.xlsx,DP,1.0,0.8301568570228095
customer_churn_telecom_services_dp_bootstrap_7.xlsx,DP,1.0,0.8261761137309834
customer_churn_telecom_services_k_anonimizado_codificado_bootstrap_1.xlsx,K-Anonimizado,0.9847834784840058,0.8535772320036863
customer_churn_telecom_services_k_anonimizado_codificado_bootstrap_2.xlsx,K-Anonimizado,0.9884708823286713,0.8633509444654622
customer_churn_telecom_services_k_anonimizado_codificado_bootstrap_3.xlsx,K-Anonimizado,0.9868901175507284,0.8544653938877271
